"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Cambodia",1.67e+10,1.72e+09,-1.41e+09,7.142571101,5.40187153,8.753959118,10.08821716,6.646298657,8.72769289,11.27982386,6.257921025,49.56856562,1.637999535,51.23405199,48.76594801,9.992388653,11.0022283,9.855793411,10.83363569,8.773690584,8.76963948,4.015954643,365712,4.674325731,63.47500036,64.8390657,75.20600128,77.75900269,76.51200104,49.97095648,8812637,91.35958776
"Cameroon",3.49e+10,7.25e+08,-1.39e+09,5.884059327,3.102738745,12.02352256,5.519475359,1.087434695,4.764838717,5.267615617,5.921350466,80.52663904,2.661876093,49.97662535,50.02337465,10.44686095,10.57654763,9.33950411,9.422873503,8.221307898,8.200198745,3.175872522,383808,3.453139543,53.56861641,53.6999421,52.63100052,60.7140007,56.69599915,46.85126525,9627629,87.17649751
"CentralAfricanRepublic",1.7e+09,3475007.991,-86300000,1.040018047,0.687829612,18.75180353,1.199225478,5.119759706,15.98374001,-8.787403973,6.979311492,82.62617118,0.349172211,50.67491372,49.32508628,11.04830015,11.18937007,8.931412906,9.028785199,7.425486739,7.403773582,3.680965019,93161,4.071417739,52.71722025,52.76432574,51.37599945,56.20600128,53.77299881,45.16480885,1829028,78.98729269
"Chad",1.39e+10,-6.76e+08,-72700000,6.899985045,3.46636815,12.18747581,8.10000078,13.19999993,6.955870341,5.600001748,4.978671865,96.35759157,3.264706365,49.95883027,50.04116973,11.06060644,11.16989755,9.043209225,9.091728441,7.282266008,7.244704373,2.472814276,181179,2.672599187,49.51595687,49.82057435,56.73899841,56.37799835,56.55799866,45.67344258,5052851,83.08180903
"Comoros",6.48e+08,4678330.436,18331914.893617,2.061639469,-0.34211149,-8.109577192,-0.642757588,0,3.024640394,8.999999749,5.09473313,71.07501862,2.383373359,49.57103559,50.42896441,10.44586596,10.61232377,9.407442434,9.526284042,8.444422393,8.37964488,2.891945456,12016,3.192043269,56.68688683,56.84020657,14.32600021,13.65400028,13.98499966,41.29747572,193283,70.67792014
"CongoDemRep",3.59e+10,1.84e+09,-1.41e+09,9.470288098,5.896416369,4.800328901,14.62601452,9.93556855,7.391305916,21.38688212,5.967065087,91.69265631,3.319175859,50.14876458,49.85123542,10.19985285,10.32918292,8.558457359,8.640825452,7.150240852,7.133444386,3.01885738,1233595,3.336646552,50.40843084,50.77446975,51.86700058,42.84600067,47.34500122,49.84652229,28649762,96.96678232
"CongoRep",1.42e+10,2.89e+09,4.92e+08,6.779916158,4.155784528,22.07156017,5.680767413,8.953297495,7.312674698,4.58003675,6.19028862,78.1244407,2.488215136,49.97789001,50.02210999,9.716513711,9.774286432,8.214012555,8.233099185,7.498887807,7.490817318,3.358542555,88319,3.62784733,54.2628173,54.24715976,44.50999832,44.33200073,44.42100143,48.59511292,1959944,93.76378095
"CotedIvoire",3.54e+10,4.39e+08,7.36e+08,8.79407739,6.065754946,21.67407195,4.502016542,4.169854971,8.128053637,4.465492665,5.327359957,79.19512071,2.539766572,49.19431384,50.80568616,11.09379208,10.89674348,9.185228089,9.047934741,7.407866843,7.571535739,2.887106188,294324,2.655360427,54.48883654,53.88939787,31.85199928,41.86700058,36.89899826,40.08687405,7510643,70.38946847
"Djibouti",1.46e+09,1.53e+08,-3.53e+08,8.920584625,7.07261105,20.09322481,7.011673912,49.81376742,0.850875912,2.060756383,6.352601456,51.37118946,1.7111823,49.79258343,50.20741657,10.50914255,10.64153597,10.18527285,10.27208671,9.632319386,9.599401138,4.027674848,19649,4.326115435,63.41862837,63.38577043,39.74599838,40.65599823,40.20500183,41.35766942,363137,70.52248229
"EgyptArabRep",3.06e+11,4612200000,-4456700000,2.91591188,0.668288269,1.708706265,1.523668854,4.773368306,3.926715514,-10.94076655,8.090787083,53.21766851,2.208142808,49.45418685,50.54581315,8.699411276,8.931221598,8.99105879,9.112000945,9.112539652,9.110998921,5.0157241,2602511,5.731752517,62.06394269,61.92056219,19.15500069,45.54499817,32.62400055,23.08860534,29973127,30.10489691
"ElSalvador",22585841200,5.06e+08,-4.34e+08,1.979256733,1.485497804,-0.01451198,1.121624602,1.618980134,2.075431289,2.338857402,12.25862951,45.49114433,0.485351775,52.90049476,47.09950524,10.20832261,11.51139397,9.450372715,9.969720201,7.643638065,7.964658498,7.770933178,276310,8.315629779,61.5893751,64.99685956,32.05500031,60.15800095,45.9129982,42.03486817,2762233,60.54493793
"Eritrea",2392222222.22222,46500000,-1.28e+08,5.79730687333333,3.83313761255556,11.4070270404444,0.535939437076923,-4.81199568953846,2.29436662938462,137.259081855556,6.56363245855555,76.2901041811111,1.87336937688889,49.94813883,50.05186117,10.5233338444444,10.6162319222222,10.4709082377778,10.48792339,9.11302068155555,9.17308516644444,3.589513048,85871.8888888889,3.87415210266667,54.2393549733333,55.1391292944444,69.31099701,76.64900208,73.00900269,46.8753550044444,2088046.77777778,86.028872
"Ethiopia",5.56e+10,1.86e+09,-6.83e+09,10.25749296,7.450233088,24.39042715,17.04233384,16.63703418,12.86555408,2.821865622,6.34917848,77.66880368,2.579068306,50.07930786,49.92069214,11.61305802,11.88365146,9.459530463,9.632799034,7.612001795,7.64030764,3.450303283,1794689,3.680612885,54.00357358,54.68039546,73.8710022,80.21299744,77.06999969,47.0191182,46668355,86.74068342
